Tablets, Expected Value
154, 15.228112315938487
155, 15.278502095092172
156, 15.328729749758054
157, 15.378796834834928
158, 15.428704880524553
159, 15.47845539287726
160, 15.52804985432235
161, 15.5774897241835
162, 15.62677643917986
163, 15.675911413913187
164, 15.724896041341687
165, 15.773731693240746
166, 15.822419720651236
167, 15.870961454315584
168, 15.919358205102295
169, 15.967611264418913
170, 16.01572190461421
171, 16.063691379369594
172, 16.11152092408029
173, 16.159211756226735
174, 16.206765075736044
175, 16.254182065334312
176, 16.301463890889906
177, 16.348611701747995
178, 16.395626631056384
179, 16.44250979608353
180, 16.489262298528086
181, 16.535885224821243
182, 16.58237964642109
183, 16.628746620100117
184, 16.674987188225327
185, 16.721102379031812
186, 16.767093206889385
187, 16.812960672563094
188, 16.858705763467192
189, 16.90432945391319
190, 16.94983270535207
191, 16.995216466610625
192, 17.040481674122326
193, 17.085629252152764
194, 17.130660113019903
195, 17.175575157309204
196, 17.22037527408363
197, 17.265061341089204
198, 17.309634224955524
199, 17.35409478139193
200, 17.39844385537918
201, 17.442682281356706
202, 17.486810883406108
203, 17.530830475429948
204, 17.574741861327105
205, 17.618545835163975
206, 17.662243181342074
207, 17.70583467476191
208, 17.74932108098335
209, 17.792703156382377
210, 17.835981648304813
211, 17.87915729521632
212, 17.92223082684951
213, 17.965202964347945
214, 18.00807442040683
215, 18.050845899411065
216, 18.09351809757021
217, 18.136091703050845
218, 18.17856739610574
219, 18.22094584920114
220, 18.26322772714055
221, 18.305413687186707
222, 18.34750437918065
223, 18.38950044565854
224, 18.431402521966163
225, 18.473211236371082
226, 18.514927210172377
227, 18.556551057808665
228, 18.59808338696342
229, 18.639524798668642
230, 18.680875887406316
231, 18.722137241207882
232, 18.763309441751854
233, 18.804393064459383
234, 18.84538867858827
235, 18.886296847324886
236, 18.92711812787437
237, 18.967853071549367
238, 19.008502223856745
239, 19.049066124582946
240, 19.08954530787755
241, 19.12994030233532
242, 19.17025163107679
243, 19.210479811827362
244, 19.250625356994743
245, 19.290688773745217
246, 19.330670564078353
247, 19.37057122490039
248, 19.41039124809633
249, 19.45013112060064
250, 19.48979132446681
251, 19.529372336935445
252, 19.56887463050134
253, 19.608298672979416
254, 19.6476449275691
255, 19.686913852918025
256, 19.726105903184358
257, 19.76522152809806
258, 19.80426117302106
259, 19.84322527900658
260, 19.882114282857085
261, 19.92092861718146
262, 19.959668710451286
263, 19.998334987055856
264, 20.036927867356585
265, 20.075447767740133
266, 20.113895100671012
267, 20.152270274742982
268, 20.190573694729803
269, 20.228805761634998
270, 20.266966872740856
271, 20.30505742165659
272, 20.343077798365726
273, 20.381028389272604
274, 20.418909577248375
275, 20.456721741675864
276, 20.494465258494056
277, 20.532140500241635
278, 20.56974783609988
279, 20.60728763193482
280, 20.644760250339015
281, 20.68216605067203
282, 20.71950538910106
283, 20.756778618640098
284, 20.793986089189083
285, 20.83112814757239
286, 20.868205137576176
287, 20.90521739998577
288, 20.942165272622145
289, 20.979049090377817
290, 21.015869185252466
